Ticker,Price,Beta,Return_1Y,Signal
ADANIENT,2226.39990234375,1.76,-2.76,BULLISH
ADANIPORTS,1550.699951171875,1.42,36.19,BULLISH
APOLLOHOSP,7152.5,0.86,6.07,BULLISH
ASIANPAINT,2401.10009765625,0.59,6.91,BEARISH
AXISBANK,1341.5999755859375,1.15,32.72,BULLISH
BAJAJ-AUTO,9518.5,1.09,9.9,BULLISH
BAJFINANCE,981.7000122070312,1.15,19.2,BULLISH
BAJAJFINSV,2024.199951171875,1.24,12.99,BULLISH
BEL,429.6499938964844,0.9,58.36,BULLISH
BPCL,386.3500061035156,0.98,58.38,BULLISH
BHARTIARTL,2038.4000244140625,0.93,21.4,BEARISH
BRITANNIA,5911.0,0.47,21.97,BEARISH
CIPLA,1330.0,0.87,-7.86,BEARISH
COALINDIA,432.79998779296875,0.88,23.4,BULLISH
DIVISLAB,6024.5,0.82,1.9,BEARISH
DRREDDY,1241.199951171875,0.84,2.3,BEARISH
EICHERMOT,7177.5,0.98,36.27,BEARISH
GRASIM,2836.89990234375,1.04,15.12,BULLISH
HCLTECH,1593.699951171875,1.22,-4.86,BEARISH
HDFCBANK,941.0999755859375,0.84,11.18,BEARISH
HDFCLIFE,703.5,0.8,10.97,BEARISH
HEROMOTOCO,5753.5,1.05,42.67,BEARISH
HINDALCO,942.5499877929688,1.29,59.31,BULLISH
HINDUNILVR,2424.199951171875,0.41,4.55,BULLISH
ICICIBANK,1406.0999755859375,0.88,12.22,BULLISH
ITC,325.79998779296875,0.52,-19.45,BEARISH
INDUSINDBK,903.5999755859375,0.7,-15.39,BULLISH
INFY,1507.0999755859375,1.18,-17.48,BEARISH
JSWSTEEL,1236.199951171875,1.35,29.23,BULLISH
KOTAKBANK,422.3500061035156,0.9,7.86,BEARISH
LTIM,5561.5,1.21,-2.83,BEARISH
LT,4068.10009765625,1.11,23.35,BULLISH
M&M,3578.0,1.21,14.97,BEARISH
MARUTI,14997.0,0.78,17.51,BEARISH
NESTLEIND,1303.300048828125,0.71,18.49,BULLISH
NTPC,365.04998779296875,0.96,20.67,BULLISH
ONGC,268.95001220703125,1.03,14.25,BULLISH
POWERGRID,289.5,1.01,11.26,BULLISH
RELIANCE,1450.800048828125,1.18,16.19,BEARISH
SBILIFE,1996.699951171875,0.82,38.14,BEARISH
SBIN,1066.4000244140625,0.88,47.64,BULLISH
SHRIRAMFIN,1002.5,1.63,80.66,BULLISH
SUNPHARMA,1695.0999755859375,0.76,-1.18,BEARISH
TATASTEEL,197.05999755859375,1.43,50.44,BULLISH
TCS,2941.60009765625,0.91,-24.61,BEARISH
TATACONSUM,1159.300048828125,0.82,13.66,BEARISH
TECHM,1619.9000244140625,1.08,-1.9,BEARISH
TITAN,4141.0,0.68,24.82,BULLISH
TRENT,4113.7998046875,1.44,-20.77,BULLISH
ULTRACEMCO,12722.0,0.8,11.02,BULLISH
WIPRO,230.72000122070312,1.03,-24.36,BEARISH
PIDILITIND,1489.0999755859375,0.58,4.55,BULLISH
VEDL,671.0499877929688,1.48,62.18,BULLISH
